dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,result_source
hrss_anomalous_optimized,decision_tree,classical_ml,5-fold cross-validation,0.9748905425181235,0.0017532841835738193,0.9495837354013611,0.006867086433542731,0.9408929428943835,0.0077927933800364165,0.9451771511721555,0.0038495931792295475,0.23761800566754365,0.006282537046100585,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,decision_tree
hrss_anomalous_optimized,knn,classical_ml,5-fold cross-validation,0.8330445817006004,0.007116243443519737,0.6611520179510928,0.020025469393465063,0.5634272190044982,0.014534210332578516,0.6082994854198756,0.015321393155337945,0.23761800566754365,0.006282537046100585,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,distance_vote,N/A,N/A,CPU,knn
hrss_anomalous_optimized,logistic_regression,classical_ml,5-fold cross-validation,0.7686158666680676,0.0032772321765845965,0.47544390480815935,0.11889593058573861,0.025238144238967454,0.002835359415279856,0.04778253080070004,0.005279003056715191,0.23761800566754365,0.006282537046100585,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,logistic_regression
hrss_anomalous_optimized,naive_bayes,classical_ml,5-fold cross-validation,0.7417236185448106,0.005768387315520351,0.37974353140847156,0.013093035885717636,0.19325870500494907,0.02930422283676818,0.2548273257331674,0.02680788014606459,0.23761800566754365,0.006282537046100585,0.3125,False,better_than_random,N/A,N/A,N/A,N/A,gaussian_likelihood,N/A,N/A,CPU,naive_bayes
hrss_anomalous_optimized,random_forest,classical_ml,5-fold cross-validation,0.9788632222212279,0.0011720296553886103,0.9578778507538871,0.005122370717881012,0.9499701094679486,0.008763044647754743,0.9538611850802979,0.002771046635707823,0.23761800566754365,0.006282537046100585,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,random_forest
hrss_anomalous_optimized,svm,classical_ml,5-fold cross-validation,0.7711114622294988,0.0019069762294332668,0.6220605805046032,0.17720261040642574,0.01616097766540244,0.003806149302235975,0.03144983314093212,0.0073192306069209505,0.23761800566754365,0.006282537046100585,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,hinge,N/A,N/A,CPU,svm
hrss_anomalous_optimized,autoencoder,deep_learning,hold-out,0.3912231559290383,0.22663947882856997,0.2816074096019942,0.0727279271431354,0.8073089700996677,0.2725062678326894,0.3835897240488946,0.013247120534263886,0.2294315938240569,0.006008742215810351,0.25,False,better_than_random,0.0004,64,100,Adam,mse,normal_only,formal_data_driven_v2,CPU,autoencoder
hrss_anomalous_optimized,cnn,deep_learning,hold-out,0.655377302436126,0.030983601373802825,0.37379602019178737,0.021548694534974308,0.7209302325581395,0.03593003871507958,0.49104266609887115,0.010145982812242651,0.2294315938240569,0.006008742215810351,0.25,False,better_than_random,0.00025,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,cnn
hrss_anomalous_optimized,gru,deep_learning,hold-out,0.6521517697988286,0.005304982596383925,0.3597926264792724,0.006004792594546768,0.6589147286821705,0.03971300349289281,0.46517717133355285,0.013966723867054576,0.2294315938240569,0.006008742215810351,0.25,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,gru
hrss_anomalous_optimized,lstm,deep_learning,hold-out,0.5929887106357694,0.03233140746540634,0.33102205323378264,0.013986631014009002,0.7452934662236989,0.04862568859379879,0.4574220035112992,0.007598219775660993,0.2294315938240569,0.006008742215810351,0.25,False,better_than_random,0.0003,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,lstm
hrss_anomalous_optimized,rnn,deep_learning,hold-out,0.6674306086070793,0.005720597723620809,0.3746180591914152,0.0056757294844663915,0.6662975267626431,0.0034232626413789576,0.4795790872499444,0.005486885150593349,0.2294315938240569,0.006008742215810351,0.25,False,better_than_random,0.00035,64,100,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,rnn
hrss_anomalous_optimized,cnn_lstm_hybrid,hybrid,hold-out,0.6251591545709192,0.022231745949291726,0.34810919955092595,0.012739593160236914,0.7157622739018089,0.028939250088622564,0.4678145656820778,0.0057189372044881195,0.2294315938240569,0.006008742215810351,0.25,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,cnn_lstm_hybrid
hrss_anomalous_optimized,encoder_decoder_transformer,transformer,hold-out,0.6413717001952296,0.041761296773908343,0.35581596266618765,0.020709786487977416,0.6681432262827611,0.07899938929137211,0.46137485876036527,0.01065333215399768,0.2294315938240569,0.006008742215810351,0.25,False,better_than_random,0.0003,64,140,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,encoder_decoder_transformer
