dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,scenario,train_source,test_source,train_dataset,test_dataset,train_samples_raw,train_samples_after_smote,test_samples,positive_rate_train_raw,positive_rate_train_after_smote,positive_rate_test,feature_count,result_source
train_optimized_test_standard,autoencoder,deep_learning,cross-regime hold-out (3 runs),0.23979699725100445,0.0,0.23979699725100445,0.0,1.0,0.0,0.38683267951560635,0.0,0.3214501661803195,0.002948127123315324,0.25,False,better_than_random,0.0004,64,100,Adam,mse,normal_only,formal_data_driven_v2,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,cnn,deep_learning,cross-regime hold-out (3 runs),0.3621625431733277,0.020701675575181294,0.2323677192015288,0.0018833977057734163,0.7202821869488535,0.030821672224006256,0.3512324037743711,0.0033558656821869124,0.3214501661803195,0.002948127123315324,0.25,False,better_than_random,0.00025,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,cnn_lstm_hybrid,hybrid,cross-regime hold-out (3 runs),0.37910763374920703,0.030004627558410536,0.23118938841424672,0.010693795232002373,0.6822457378012934,0.039420345727828966,0.3451486399397101,0.014755527067523871,0.3214501661803195,0.002948127123315324,0.25,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,decision_tree,classical_ml,cross-regime hold-out (5 runs),0.5196193698456334,0.050783964560506364,0.23716181010847928,0.013755552452272309,0.4551675485008818,0.10507802115424292,0.30861233606528227,0.03245740858941928,0.3246381485976387,0.004606136011357787,0.8125,False,worse_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,encoder_decoder_transformer,transformer,cross-regime hold-out (3 runs),0.48137026855572,0.04536989544673431,0.26187853641463965,0.00770092896513517,0.6357436801881245,0.08107816501139994,0.3692435709044047,0.012970644462589068,0.3214501661803195,0.002948127123315324,0.25,False,better_than_random,0.0003,64,140,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,gru,deep_learning,cross-regime hold-out (3 runs),0.4063720307323606,0.03050167464667481,0.22745102425088773,0.008786863860301156,0.613345091122869,0.009432283147813825,0.331652510315416,0.008010419838498047,0.3214501661803195,0.002948127123315324,0.5,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,knn,classical_ml,cross-regime hold-out (5 runs),0.500934658490167,0.007370050999987241,0.22459183849359263,0.0019896640314009235,0.4407760141093474,0.009736599886051587,0.29752433531083167,0.0026698750174791,0.3246381485976387,0.004606136011357787,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,distance_vote,N/A,N/A,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,logistic_regression,classical_ml,cross-regime hold-out (5 runs),0.5279763163459505,0.0026272979364184846,0.24496392066367473,0.0021293605865981267,0.4651146384479718,0.007070880854081594,0.3209041042160674,0.003287664792738637,0.3246381485976387,0.004606136011357787,0.3125,False,worse_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,lstm,deep_learning,cross-regime hold-out (3 runs),0.31021357580883907,0.01569370732675216,0.2303164353738962,0.0026559384588061338,0.801763668430335,0.038782262732504014,0.3577379478632458,0.00674175620054306,0.3214501661803195,0.002948127123315324,0.25,False,better_than_random,0.0003,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_optimized_test_standard,naive_bayes,classical_ml,cross-regime hold-out (5 runs),0.4429350814125608,0.008348552326114993,0.23806694963903502,0.003016835680713327,0.6010582010582011,0.004482633166539296,0.34103365886004317,0.003066575002301017,0.3246381485976387,0.004606136011357787,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gaussian_likelihood,N/A,N/A,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
