dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,result_source
hrss_anomalous_optimized,decision_tree,classical_ml,5-fold cross-validation,0.9748905425181235,0.0017532841835738193,0.9495837354013611,0.006867086433542731,0.9408929428943835,0.0077927933800364165,0.9451771511721555,0.0038495931792295475,0.23761800566754365,0.006282537046100585,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,classical
hrss_anomalous_optimized,knn,classical_ml,5-fold cross-validation,0.8330445817006004,0.007116243443519737,0.6611520179510928,0.020025469393465063,0.5634272190044982,0.014534210332578516,0.6082994854198756,0.015321393155337945,0.23761800566754365,0.006282537046100585,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,distance_vote,N/A,N/A,CPU,classical
hrss_anomalous_optimized,logistic_regression,classical_ml,5-fold cross-validation,0.7686158666680676,0.0032772321765845965,0.47544390480815935,0.11889593058573861,0.025238144238967454,0.002835359415279856,0.04778253080070004,0.005279003056715191,0.23761800566754365,0.006282537046100585,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,classical
hrss_anomalous_optimized,naive_bayes,classical_ml,5-fold cross-validation,0.7417236185448106,0.005768387315520351,0.37974353140847156,0.013093035885717636,0.19325870500494907,0.02930422283676818,0.2548273257331674,0.02680788014606459,0.23761800566754365,0.006282537046100585,0.3125,False,better_than_random,N/A,N/A,N/A,N/A,gaussian_likelihood,N/A,N/A,CPU,classical
hrss_anomalous_optimized,random_forest,classical_ml,5-fold cross-validation,0.9788632222212279,0.0011720296553886103,0.9578778507538871,0.005122370717881012,0.9499701094679486,0.008763044647754743,0.9538611850802979,0.002771046635707823,0.23761800566754365,0.006282537046100585,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,classical
hrss_anomalous_optimized,svm,classical_ml,5-fold cross-validation,0.7711114622294988,0.0019069762294332668,0.6220605805046032,0.17720261040642574,0.01616097766540244,0.003806149302235975,0.03144983314093212,0.0073192306069209505,0.23761800566754365,0.006282537046100585,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,hinge,N/A,N/A,CPU,classical
hrss_smote_optimized,decision_tree,classical_ml,5-fold cross-validation,0.9813455312369787,0.0008256275639419083,0.9839100742956056,0.0015427229446185408,0.9786995687384374,0.0018299568479594852,0.9812956966017445,0.000835188725089755,0.5013989696995269,0.008132102144039503,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,classical
hrss_smote_optimized,knn,classical_ml,5-fold cross-validation,0.9148640533923235,0.0026981481706041532,0.8821961650076215,0.005277594054438196,0.957663906522656,0.004025853212431237,0.9183636043582764,0.002382408543716254,0.5013989696995269,0.008132102144039503,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,distance_vote,N/A,N/A,CPU,classical
hrss_smote_optimized,logistic_regression,classical_ml,5-fold cross-validation,0.6341865935933215,0.0033478257027132825,0.6391543114544255,0.0041558845714005565,0.6164574242973184,0.00796777688021968,0.627563904031579,0.0043314378811000216,0.5013989696995269,0.008132102144039503,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,classical
hrss_smote_optimized,naive_bayes,classical_ml,5-fold cross-validation,0.625057837544593,0.004102262827859295,0.6336245218784429,0.007138257948266649,0.5935687288110378,0.009881369624303511,0.6128424127359361,0.003768611602708326,0.5013989696995269,0.008132102144039503,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gaussian_likelihood,N/A,N/A,CPU,classical
